regime_id,regime_label,panel,ddt,fallback,monitoring,remote_assistance,remote_intervention,remote_driving,dispatch,service_operation,lifecycle,testing,keeper,rationale,confidence,term,framework,verification,records
RC-013,Remote intervention operator,current,No,MRM support,Yes,Yes,Yes,No,Possible,No,No,No,No,Strong comparative candidate for Slovak legislative drafting because Croatia separates remote intervention from in-vehicle operation.,,Operator intervencije na daljinu,Croatia – Road Traffic Safety Act,Primary-source checked via ROAT,ROAT-2026-0303;ROAT-2026-0262
RC-014,Licensed fully automated vehicle operator,current,No,Organisational,Entity-level,Arranged,Arranged,No,Yes,Yes,Possible,No,No,Status flag is essential: as of 26 August 2026 this is not effective law and should never be returned as a current Slovak legal role without qualification.,,Prevádzkovateľ plne automatizovaného vozidla – proposed licence-holder role,Slovakia – parliamentary print 1329 (draft),Draft text checked; not in force,ROAT-2026-0159
RC-015,Supervision operator,current,No continuous,Support,Yes,Possible,Possible,Potential boundary,No,No,No,No,No,"Key research issue: determine whether the draft function is closer to German Technische Aufsicht, French authorised remote intervener, Croatian remote intervention operator, or an EU remote-management function. It may improperly combine several models.",,Operátor dohľadu,Slovakia – parliamentary print 1329 (draft),Draft text checked; not in force,ROAT-2026-0159
RC-016,Level 3 fallback-ready user,current,After takeover,Yes,Readiness,No,No,No,No,No,No,No,No,Critical distinction for Level 3: fallback-ready user is not a remote supervisor and is not the service operator.,,DDT fallback-ready user,SAE J3016,Primary technical standard checked via ROAT,ROAT-2026-0120
RC-017,Remote human driver,current,Yes,Possible,Yes,No,Yes – direct,Yes,No,No,No,No,No,This is the cleanest comparator for testing whether Slovak supervision powers cross the line into actual remote driving.,,Remote driver,SAE J3016,Primary technical standard checked via ROAT,ROAT-2026-0120
RC-018,Trip-dispatch / strategic user,current,No,No,No,Possible,No,No,Yes,Support,No,No,No,"Useful reminder that strategic trip management, DDT performance and remote supervision are separate functions.",,Dispatcher,SAE J3016,Primary technical standard checked via ROAT,ROAT-2026-0120
RC-019,Prototype ADS fallback test driver,current,Conditional,Yes,Yes,Possible,Possible,Possible,No,No,No,Testing role,No,Testing roles should be kept separate from deployment roles; otherwise prototype safeguards can be mistaken for permanent operational governance.,,Fallback test driver,SAE J3018,Primary-source checked; ROAT record ROAT-2026-0369,ROAT-2026-0369
RC-020,In-vehicle prototype fallback test driver,current,After takeover,Yes,Yes,No,In-vehicle,No,No,No,No,Testing role,No,This role becomes an ordinary test driver once it actually assumes the complete DDT.,,In-vehicle fallback test driver (IFTD),SAE J3018,Primary-source checked; ROAT record ROAT-2026-0369,ROAT-2026-0369
RC-021,Remote prototype fallback test driver,current,Possible during fallback,Yes,Yes,No,Direct fallback,Potentially yes,No,No,No,Testing role,No,High-value boundary case: remote fallback test driving is materially different from remote assistance and supervision.,,Remote fallback test driver,SAE J3018,Primary SAE source checked; guidance expressly limited,ROAT-2026-0369
RC-022,Safety driver in public-road AV testing,current,Conditional,Yes,Yes,No,In-vehicle takeover,No,No,No,No,Testing driver role,No,"California 2026 rules retain a distinct permitting pathway for testing with a safety driver, separate from driverless testing and deployment.",,Autonomous vehicle test driver / safety driver,California – DMV testing regime,Official California current regulations checked,ROAT-2026-0172
RC-023,AV testing permit holder,current,No,Organisational,Entity-level,Arranged,Arranged,No,Yes,Testing programme,Possible,Yes,No,Useful for separating testing authorisation from commercial/deployment operator licensing in Slovak law.,,Manufacturer / autonomous vehicle testing permit holder,California – DMV AV program,Official California permit framework checked,ROAT-2026-0172;ROAT-2026-0183;ROAT-2026-0185
RC-024,Automated-vehicle trial permit holder,current,No,Organisational,Entity-level,Arranged,Arranged,Possible by permit design,Yes,Testing programme,No,Yes,No,Strong comparator for redesigning Slovak test operation as a controlled validation/trial phase rather than conflating it with deployment.,,Permit holder for trial operation with automated vehicles,Sweden – Swedish Transport Agency,Primary-source checked; ROAT records ROAT-2026-0370; ROAT-2026-0371,ROAT-2026-0370;ROAT-2026-0371
RC-025,ADS lifecycle safety entity,current,No,Lifecycle,Entity-level,Arranged,Arranged,No,No,Distinct,Yes,No,No,Important comparator to UK ASDE: both separate ADS safety responsibility from ordinary vehicle ownership and human user roles.,,Automated Driving System Entity (ADSE),Australia – proposed Automated Vehicle Safety Law framework,Primary-source checked; proposed law not yet in force; ROAT record ROAT-2026-0372,ROAT-2026-0372
RC-026,Driverless-operation permission holder,current,No,Organisational,Entity-level,Arranged,Arranged,No,Yes,Yes,Possible,Permission holder,No,Japan is valuable because it separates the permission-holding implementer from the natural-person supervisor responsible for remote monitoring and accident response.,,Specified Automated Operation (SAO) implementer,Japan – Road Traffic Act SAO framework,Primary-source checked; ROAT record ROAT-2026-0373,ROAT-2026-0373
RC-027,Remote operational supervisor,current,No,Incident response,Yes,Yes,Limited,No routine,No,No,No,No,No,A particularly clean comparator if Slovak law intends supervision without continuous remote DDT control.,,Specified Automated Operation (SAO) supervisor,Japan – Road Traffic Act SAO framework,Primary-source checked; ROAT record ROAT-2026-0373,ROAT-2026-0373
RC-028,Automated commercial vehicle pilot participant,current,No,Organisational,Entity-level,Arranged,Arranged,No,Yes,Testing programme,No,Yes,No,Ontario explicitly keeps the participant responsible at all times even when an assistant provides remote or in-vehicle oversight.,,ACMV Pilot Program participant / approval package holder,"Ontario, Canada – ACMV Pilot Program",Primary-source checked; ROAT records ROAT-2026-0374; ROAT-2026-0375,ROAT-2026-0374;ROAT-2026-0375
RC-029,Driverless-test oversight assistant,current,No regular,Safe-stop support,Yes,Yes,Limited exceptional,No regular driving,No,No,No,Pilot oversight,No,"High-value drafting model because the legal boundary is explicit: oversight may include safe-stop/manoeuvring/advice, but not remote control for regular driving tasks.",,Assistant,"Ontario, Canada – ACMV Pilot Program",Primary-source checked; ROAT records ROAT-2026-0375; ROAT-2026-0374,ROAT-2026-0375;ROAT-2026-0374
RC-030,Vehicle owner as statutory responsibility holder,current,No,No,No,No,No,No,No,Distinct,No,No,Yes,"Croatia is a useful warning against conflating owner, service operator and remote human roles: the owner carries specific offence and data duties even though intervention roles are separately defined.",,Vlasnik potpuno automatiziranog vozila,Croatia – Road Traffic Safety Act,Primary-source checked via ROAT,ROAT-2026-0303;ROAT-2026-0262
